Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
12,clean-run,10000,TRUE,uniform,READ,77.7,7419.73,0.5,0.5,0,0,0,87419,1143.916082,50308,344.5002982,139,132607,504,908,50308
12,clean-run,10000,TRUE,uniform,UPDATE,77.7,7419.73,0.5,0.5,0,0,0,87419,1143.916082,49692,1396.836593,159,1524735,849,12439,49692
12,avg-run,10000,TRUE,uniform,READ,77.3,7850.8,0.5,0.5,0,0,0,59236,1688.162604,50092,264.7594626,80,158463,471,768,50092
12,avg-run,10000,TRUE,uniform,UPDATE,77.3,7850.8,0.5,0.5,0,0,0,59236,1688.162604,49908,908.3744089,73,906239,609,11423,49908
13,extend,10000,TRUE,uniform,EXTEND,72.8,7799.52,0,0,0,0,1,897010,557.4073868,500000,1790.850232,296,1942527,7411,13423,500000
13,run,10000,TRUE,uniform,READ,72.3,8022.76,0.5,0.5,0,0,0,97616,1024.422226,50082,321.5943453,140,101759,523,800,50082
13,run,10000,TRUE,uniform,UPDATE,72.3,8022.76,0.5,0.5,0,0,0,97616,1024.422226,49918,1618.969991,183,1189887,7663,12951,49918
13,reference,10000,TRUE,uniform,READ,71.9,8344.44,0.5,0.5,0,0,0,104291,958.8555101,50083,402.9221892,137,84223,535,1600,50083
13,reference,10000,TRUE,uniform,UPDATE,71.9,8344.44,0.5,0.5,0,0,0,104291,958.8555101,49917,1670.777651,186,1382399,7935,13671,49917
13,clean-run,10000,TRUE,uniform,READ,71.1,8364.71,0.5,0.5,0,0,0,113922,877.7935781,49916,361.7938737,158,95743,541,835,49916
13,clean-run,10000,TRUE,uniform,UPDATE,71.1,8364.71,0.5,0.5,0,0,0,113922,877.7935781,50084,1900.544226,186,995327,8519,13663,50084
13,avg-run,10000,TRUE,uniform,READ,70.6,8984.24,0.5,0.5,0,0,0,72710,1375.32664,49950,313.1143143,84,167167,512,982,49950
13,avg-run,10000,TRUE,uniform,UPDATE,70.6,8984.24,0.5,0.5,0,0,0,72710,1375.32664,50050,1126.727692,75,435967,6763,13815,50050
14,extend,10000,TRUE,uniform,EXTEND,65.7,8934.35,0,0,0,0,1,1156720,432.2567259,500000,2310.005326,348,1587199,8887,14447,500000
14,run,10000,TRUE,uniform,READ,65.1,9244.68,0.5,0.5,0,0,0,123224,811.5302214,50121,372.4816943,157,84991,576,865,50121
14,run,10000,TRUE,uniform,UPDATE,65.1,9244.68,0.5,0.5,0,0,0,123224,811.5302214,49879,2081.735079,203,945663,8911,14295,49879
14,reference,10000,TRUE,uniform,READ,64.7,9643.22,0.5,0.5,0,0,0,132742,753.3410676,49676,444.2640108,150,82559,586,3371,49676
14,reference,10000,TRUE,uniform,UPDATE,64.7,9643.22,0.5,0.5,0,0,0,132742,753.3410676,50324,2184.893649,202,973823,10007,16527,50324
14,clean-run,10000,TRUE,uniform,READ,64.1,9652.51,0.5,0.5,0,0,0,146871,680.8696067,50049,473.5281824,170,88447,608,2207,50049
14,clean-run,10000,TRUE,uniform,UPDATE,64.1,9652.51,0.5,0.5,0,0,0,146871,680.8696067,49951,2451.180577,198,1212415,9839,14647,49951
14,avg-run,10000,TRUE,uniform,READ,64,9632.24,0.5,0.5,0,0,0,7348,13609.14535,0,NaN,9.22E+18,0,0,0,50200
